[2025-03-16 15:00:36 root] (main_calib_config3_cbq.py 280): INFO Namespace(model='/workspace/volume/inference-soft-data/AE/llm/models/Llama-2-7b-hf', cache_dir='./cache', output_dir='./log-divide-adaptive-calibration-cbq/Llama-2-7b-hf-0.4', save_dir=None, resume=None, real_quant=False, calib_dataset='wikitext2', nsamples=128, batch_size=1, seed=2, tasks='piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande', eval_ppl=True, num_fewshot=0, wbits=4, abits=4, group_size=None, alpha=0.5, let_lr=0.005, lwc_lr=0.01, wd=0, epochs=15, let=True, lwc=True, symmetric=False, disable_zero_point=False, a_dynamic_method='per_token', w_dynamic_method='per_channel', limit=-1, multigpu=False, deactive_amp=True, attn_implementation='eager', net=None, act_scales=None, act_shifts=None, quant_map='log-divide-adaptive/Llama-2-7b-hf/quant_map_Llama-2-7b-hf_0.4.pkl', scale_calibration=True, compensation_calibration=True)
[2025-03-16 15:00:43 root] (main_calib_config3_cbq.py 347): INFO === start quantization ===
[2025-03-16 15:00:43 root] (main_calib_config3_cbq.py 353): INFO load calibration from ./cache/dataloader_Llama_wikitext2_128.cache
[2025-03-16 15:00:43 root] (abq_llm_calib_config3_cbq.py 82): INFO Starting ...
[2025-03-16 15:00:43 root] (abq_llm_calib_config3_cbq.py 89): INFO Loaded quant_map from log-divide-adaptive/Llama-2-7b-hf/quant_map_Llama-2-7b-hf_0.4.pkl
[2025-03-16 15:00:47 root] (abq_llm_calib_config3_cbq.py 294): INFO === Start quantize layers 0 to 1 ===
[2025-03-16 15:01:48 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 0 loss:0.24648292362689972 norm:0.5575532913208008 max memory_allocated 38105.85986328125 
[2025-03-16 15:02:46 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 1 loss:0.13415084779262543 norm:0.17575779557228088 max memory_allocated 38105.85986328125 
[2025-03-16 15:03:43 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 2 loss:0.10874669253826141 norm:0.13989952206611633 max memory_allocated 38105.85986328125 
[2025-03-16 15:04:40 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 3 loss:0.4490087628364563 norm:1.0142968893051147 max memory_allocated 38105.85986328125 
[2025-03-16 15:05:37 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 4 loss:0.13636520504951477 norm:0.25398096442222595 max memory_allocated 38105.85986328125 
[2025-03-16 15:06:34 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 5 loss:0.10776856541633606 norm:0.10958552360534668 max memory_allocated 38105.85986328125 
[2025-03-16 15:07:31 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 6 loss:0.0890517309308052 norm:0.06811532378196716 max memory_allocated 38105.85986328125 
[2025-03-16 15:08:28 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 7 loss:0.08404826372861862 norm:0.05414779484272003 max memory_allocated 38105.85986328125 
[2025-03-16 15:09:25 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 8 loss:0.08641868829727173 norm:0.0736243724822998 max memory_allocated 38105.85986328125 
[2025-03-16 15:10:22 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 9 loss:0.0837697833776474 norm:0.06404649466276169 max memory_allocated 38105.85986328125 
[2025-03-16 15:11:19 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 10 loss:0.08594236522912979 norm:0.08083523064851761 max memory_allocated 38105.85986328125 
[2025-03-16 15:12:16 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 11 loss:0.0805073231458664 norm:0.05482640489935875 max memory_allocated 38105.85986328125 
[2025-03-16 15:13:13 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 12 loss:0.08249976485967636 norm:0.07350059598684311 max memory_allocated 38105.85986328125 
[2025-03-16 15:14:10 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 13 loss:0.08252508193254471 norm:0.07090912759304047 max memory_allocated 38105.85986328125 
[2025-03-16 15:15:07 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 14 loss:0.07996205985546112 norm:0.06285467743873596 max memory_allocated 38105.85986328125 
[2025-03-16 15:15:38 root] (abq_llm_calib_config3_cbq.py 294): INFO === Start quantize layers 1 to 2 ===
[2025-03-16 15:16:40 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 0 loss:0.5728709697723389 norm:0.3430272042751312 max memory_allocated 38138.54931640625 
[2025-03-16 15:17:37 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 1 loss:0.3141126036643982 norm:0.18475845456123352 max memory_allocated 38138.54931640625 
[2025-03-16 15:18:34 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 2 loss:0.2143786996603012 norm:0.10325521975755692 max memory_allocated 38138.54931640625 
[2025-03-16 15:19:31 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 3 loss:0.17719075083732605 norm:0.0730271115899086 max memory_allocated 38138.54931640625 
[2025-03-16 15:20:28 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 4 loss:0.15498371422290802 norm:0.06075598672032356 max memory_allocated 38138.54931640625 
[2025-03-16 15:21:26 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 5 loss:0.1485668569803238 norm:0.056782957166433334 max memory_allocated 38138.54931640625 
[2025-03-16 15:22:23 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 6 loss:0.13620218634605408 norm:0.05227569118142128 max memory_allocated 38138.54931640625 
[2025-03-16 15:23:20 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 7 loss:0.12402574717998505 norm:0.041516974568367004 max memory_allocated 38138.54931640625 
[2025-03-16 15:24:17 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 8 loss:0.11858285963535309 norm:0.03997606784105301 max memory_allocated 38138.54931640625 
[2025-03-16 15:25:14 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 9 loss:0.11295069009065628 norm:0.040076471865177155 max memory_allocated 38138.54931640625 
[2025-03-16 15:26:12 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 10 loss:0.10645356774330139 norm:0.03925558924674988 max memory_allocated 38138.54931640625 
[2025-03-16 15:27:09 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 11 loss:0.10070197284221649 norm:0.03714615851640701 max memory_allocated 38138.54931640625 
[2025-03-16 15:28:06 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 12 loss:0.0998070240020752 norm:0.04121370241045952 max memory_allocated 38138.54931640625 
[2025-03-16 15:29:03 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 13 loss:0.09572330117225647 norm:0.03503336384892464 max memory_allocated 38138.54931640625 
[2025-03-16 15:30:00 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 14 loss:0.09366308152675629 norm:0.03225356340408325 max memory_allocated 38138.54931640625 
[2025-03-16 15:30:31 root] (abq_llm_calib_config3_cbq.py 294): INFO === Start quantize layers 2 to 3 ===
[2025-03-16 15:31:33 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 0 loss:0.06248623877763748 norm:0.019739802926778793 max memory_allocated 38138.54931640625 
[2025-03-16 15:32:30 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 1 loss:0.039326976984739304 norm:0.00997251272201538 max memory_allocated 38138.54931640625 
[2025-03-16 15:33:27 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 2 loss:0.031293485313653946 norm:0.006396986078470945 max memory_allocated 38138.54931640625 
[2025-03-16 15:34:24 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 3 loss:0.027387071400880814 norm:0.004900805652141571 max memory_allocated 38138.54931640625 
[2025-03-16 15:35:21 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 4 loss:0.025269296020269394 norm:0.004384811036288738 max memory_allocated 38138.54931640625 
[2025-03-16 15:36:18 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 5 loss:0.023817121982574463 norm:0.0037954221479594707 max memory_allocated 38138.54931640625 
[2025-03-16 15:37:15 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 6 loss:0.02275017276406288 norm:0.003288647625595331 max memory_allocated 38138.54931640625 
[2025-03-16 15:38:12 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 7 loss:0.022018026560544968 norm:0.0030752967577427626 max memory_allocated 38138.54931640625 
[2025-03-16 15:39:09 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 8 loss:0.021602746099233627 norm:0.002814254956319928 max memory_allocated 38138.54931640625 
[2025-03-16 15:40:06 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 9 loss:0.021305112168192863 norm:0.0027139538433402777 max memory_allocated 38138.54931640625 
[2025-03-16 15:41:03 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 10 loss:0.0210222490131855 norm:0.0023743147030472755 max memory_allocated 38138.54931640625 
[2025-03-16 15:42:00 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 11 loss:0.020836737006902695 norm:0.002003746572881937 max memory_allocated 38138.54931640625 
[2025-03-16 15:42:57 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 12 loss:0.020632250234484673 norm:0.0018866828177124262 max memory_allocated 38138.54931640625 
[2025-03-16 15:43:54 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 2-3 epoch 13 loss:0.020596051588654518 norm:0.0019348340574651957 max memory_allocated 38138.54931640625 
