[2025-03-16 03:05:00 root] (main_calib_config3_cbq.py 280): INFO Namespace(model='/workspace/volume/inference-soft-data/AE/llm/models/llama-7b-hf', cache_dir='./cache', output_dir='./log-divide-adaptive-calibration-cbq/llama-7b-hf-0.4', save_dir=None, resume=None, real_quant=False, calib_dataset='wikitext2', nsamples=128, batch_size=1, seed=2, tasks='piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande', eval_ppl=True, num_fewshot=0, wbits=4, abits=4, group_size=None, alpha=0.5, let_lr=0.005, lwc_lr=0.01, wd=0, epochs=20, let=True, lwc=True, symmetric=False, disable_zero_point=False, a_dynamic_method='per_token', w_dynamic_method='per_channel', limit=-1, multigpu=False, deactive_amp=True, attn_implementation='eager', net=None, act_scales=None, act_shifts=None, quant_map='log-divide-adaptive/llama-7b-hf/quant_map_llama-7b-hf_0.4.pkl', scale_calibration=True, compensation_calibration=True)
[2025-03-16 03:05:07 root] (main_calib_config3_cbq.py 347): INFO === start quantization ===
[2025-03-16 03:05:07 root] (main_calib_config3_cbq.py 353): INFO load calibration from ./cache/dataloader_llama_wikitext2_128.cache
[2025-03-16 03:05:07 root] (abq_llm_calib_config3_cbq.py 82): INFO Starting ...
[2025-03-16 03:05:07 root] (abq_llm_calib_config3_cbq.py 89): INFO Loaded quant_map from log-divide-adaptive/llama-7b-hf/quant_map_llama-7b-hf_0.4.pkl
[2025-03-16 03:05:11 root] (abq_llm_calib_config3_cbq.py 294): INFO === Start quantize layers 0 to 1 ===
[2025-03-16 03:06:13 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 0 loss:0.11962801963090897 norm:0.16096602380275726 max memory_allocated 38101.85986328125 
[2025-03-16 03:07:10 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 1 loss:0.07944832742214203 norm:0.07487518340349197 max memory_allocated 38101.85986328125 
[2025-03-16 03:08:07 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 2 loss:0.0678526908159256 norm:0.0807742103934288 max memory_allocated 38101.85986328125 
[2025-03-16 03:09:04 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 3 loss:0.06105414405465126 norm:0.06088403984904289 max memory_allocated 38101.85986328125 
[2025-03-16 03:10:01 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 4 loss:0.05775189772248268 norm:0.05105523392558098 max memory_allocated 38101.85986328125 
[2025-03-16 03:10:58 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 5 loss:0.05522100627422333 norm:0.04302467033267021 max memory_allocated 38101.85986328125 
[2025-03-16 03:11:55 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 6 loss:0.05311470478773117 norm:0.03551063314080238 max memory_allocated 38101.85986328125 
[2025-03-16 03:12:52 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 7 loss:0.051682792603969574 norm:0.028617199510335922 max memory_allocated 38101.85986328125 
[2025-03-16 03:13:49 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 8 loss:0.05074132978916168 norm:0.02595827914774418 max memory_allocated 38101.85986328125 
[2025-03-16 03:14:46 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 9 loss:0.0499839223921299 norm:0.024750841781497 max memory_allocated 38101.85986328125 
[2025-03-16 03:15:44 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 10 loss:0.0492706373333931 norm:0.020470011979341507 max memory_allocated 38101.85986328125 
[2025-03-16 03:16:41 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 11 loss:0.04868239164352417 norm:0.018606381490826607 max memory_allocated 38101.85986328125 
[2025-03-16 03:17:38 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 12 loss:0.04837222024798393 norm:0.017360782250761986 max memory_allocated 38101.85986328125 
[2025-03-16 03:18:35 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 13 loss:0.04811456426978111 norm:0.017896341159939766 max memory_allocated 38101.85986328125 
[2025-03-16 03:19:32 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 14 loss:0.047598157078027725 norm:0.015599822625517845 max memory_allocated 38101.85986328125 
[2025-03-16 03:20:29 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 15 loss:0.047464519739151 norm:0.015933819115161896 max memory_allocated 38101.85986328125 
[2025-03-16 03:21:26 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 16 loss:0.047263260930776596 norm:0.01530996523797512 max memory_allocated 38101.85986328125 
[2025-03-16 03:22:23 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 17 loss:0.047118738293647766 norm:0.015538773499429226 max memory_allocated 38101.85986328125 
[2025-03-16 03:23:20 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 18 loss:0.04694095253944397 norm:0.01347968727350235 max memory_allocated 38101.85986328125 
[2025-03-16 03:24:18 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 19 loss:0.046729136258363724 norm:0.01473991759121418 max memory_allocated 38101.85986328125 
[2025-03-16 03:24:49 root] (abq_llm_calib_config3_cbq.py 294): INFO === Start quantize layers 1 to 2 ===
[2025-03-16 03:25:51 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 0 loss:0.12369183450937271 norm:0.12791390717029572 max memory_allocated 38134.54931640625 
[2025-03-16 03:26:48 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 1 loss:0.07119245827198029 norm:0.04593449458479881 max memory_allocated 38134.54931640625 
[2025-03-16 03:27:45 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 2 loss:0.062051981687545776 norm:0.037894126027822495 max memory_allocated 38134.54931640625 
[2025-03-16 03:28:43 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 3 loss:0.056936733424663544 norm:0.03390461951494217 max memory_allocated 38134.54931640625 
[2025-03-16 03:29:40 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 4 loss:0.05403082072734833 norm:0.029305901378393173 max memory_allocated 38134.54931640625 
[2025-03-16 03:30:37 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 5 loss:0.05171780288219452 norm:0.02792591042816639 max memory_allocated 38134.54931640625 
[2025-03-16 03:31:34 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 6 loss:0.0494457483291626 norm:0.025850214064121246 max memory_allocated 38134.54931640625 
[2025-03-16 03:32:32 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 7 loss:0.0479297861456871 norm:0.021751198917627335 max memory_allocated 38134.54931640625 
[2025-03-16 03:33:29 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 8 loss:0.047604288905858994 norm:0.02585206739604473 max memory_allocated 38134.54931640625 
[2025-03-16 03:34:26 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 9 loss:0.04760967195034027 norm:0.026094956323504448 max memory_allocated 38134.54931640625 
[2025-03-16 03:35:23 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 10 loss:0.04706050083041191 norm:0.022686969488859177 max memory_allocated 38134.54931640625 
[2025-03-16 03:36:21 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 11 loss:0.046435147523880005 norm:0.017410853877663612 max memory_allocated 38134.54931640625 
